OBJECTID,Trail Segment Type,Location,Status,Structure ID,Material,Map Miles,Width (ft),Structure Type,Structure Tonnage,Trail Name,Owner,ADA,Shape__Length,Closure Status,Trailhead ID,GlobalID,AccessAddress,CouncilDistrict
2,Trail,Wakefield Trail,Existing,NA,Asphalt,0.34100592,8,NA,0,Wakefield Trail,COR,NO,1800.51126884423,OPEN,375,66e2a40f-f8a0-43b3-a5a5-6adf833bfdad,2552 Wakefield Plantation Dr,B
3,Trail,Wakefield Trail,Existing,NA,Asphalt,0.29224345,8,NA,0,Wakefield Trail,COR,NO,1543.03814462686,OPEN,373,eba4a486-62fd-4a2d-a16c-ea3bf44f5dd9,12636 Village Springs Rd,B
4,Trail,Wakefield Trail,Existing,NA,Asphalt,0.48814413,8,NA,0,Wakefield Trail,COR,NO,2577.40101469442,OPEN,374,8fe6ebc5-5196-4e72-a417-41702f96e137,12950 Old Falls Of Neuse Rd,B
5,Trail,Neuse River Trail,Existing,NA,Asphalt,1.18236061,10,NA,0,Neuse River Trail,COR,YES,6242.83272329104,OPEN,299,ba2fb4a0-8e35-4f6f-9a43-7457b21e5531,3324 Falls River Ave,B
6,Trail,Neuse River Trail,Existing,NA,Asphalt,0.15535661,10,NA,0,Neuse River Trail,COR,YES,820.282921560243,OPEN,282,4315df5b-3094-46ed-9f14-8ef5451c2b53,10888 Bedfordtown Dr,B
7,Trail,Neuse River Trail,Existing,NA,Asphalt,0.14155429,10,NA,0,Neuse River Trail,COR,YES,747.310846263474,OPEN,299,28d1b543-f376-4e14-a828-52813bcd8e6e,3324 Falls River Ave,B
8,Trail,3516 Falls River Ave,Existing,NA,Concrete,0.14211315,6,NA,0,Neuse River Trail,COR,NO,750.357440163431,OPEN,301,a358239e-2f95-425b-9b4d-ef1d2cdfc1c9,3516 Falls River Ave,B
9,Trail,3516 Falls River Ave,Existing,NA,Asphalt,0.06963679,10,NA,0,Neuse River Trail,COR,NO,367.675141660398,OPEN,299,fa6da453-04de-42be-b1e3-15e094d70b9b,3324 Falls River Ave,B
10,Trail,Neuse River Trail,Existing,NA,Asphalt,0.06574895,10,NA,0,Neuse River Trail,COR,YES,347.154440590009,OPEN,286,30750dd5-8d4b-4f10-afe8-30d992ad422b,12358 Falls Of Neuse Rd,B
11,Trail,Neuse River Trail,Existing,NA,Concrete,0.02358566,10,NA,0,Neuse River Trail,COR,YES,124.528406123186,OPEN,284,bd24dd8a-d53d-41a8-b55b-e67f03bfb0a8,12088 Old Falls Of Neuse Rd,B
